sr.,State,District,Taluka
335,Tamil Nadu,Dindigul,Dindigul
336,Tamil Nadu,Dindigul,Kodaikanal
337,Tamil Nadu,Dindigul,Nilakkottai
338,Tamil Nadu,Erode,Erode
339,Tamil Nadu,Erode,Sathyamangalam
340,Tamil Nadu,Erode,Bhavani
341,Tamil Nadu,Erode,Gobichetti - Palayam
342,Tamil Nadu,Erode,Perundurai
343,Tamil Nadu,Erode,Erode
344,Tamil Nadu,Erode,Kangeyam
345,Tamil Nadu,Erode,Dharapuram
346,Tamil Nadu,Kanchipuram,Kancheepuram
347,Tamil Nadu,Kanchipuram,Sriperumbudur
348,Tamil Nadu,Kanchipuram,Tambaram
349,Tamil Nadu,Kanchipuram,Chengalpattu
350,Tamil Nadu,Kanchipuram,Kancheepuram
351,Tamil Nadu,Kanchipuram,Uthiramerur
352,Tamil Nadu,Kanchipuram,Tirukalukundram
353,Tamil Nadu,Kanniyakumari,Kanniyakumari
354,Tamil Nadu,Kanniyakumari,Vilavancode
355,Tamil Nadu,Kanniyakumari,Kalkulam
356,Tamil Nadu,Kanniyakumari,Thovala
357,Tamil Nadu,Kanniyakumari,Agastheeswaram
358,Tamil Nadu,Karur,Karur
359,Tamil Nadu,Karur,Aravakurichi
360,Tamil Nadu,Karur,Krishnarayapuram
361,Tamil Nadu,Karur,Kulithalai
362,Tamil Nadu,Krishnagiri,Krishnagiri
363,Tamil Nadu,Krishnagiri,pochampalli
364,Tamil Nadu,Krishnagiri,Hosur
365,Tamil Nadu,Madurai,Madurai
366,Tamil Nadu,Madurai,Melur
367,Tamil Nadu,Madurai,Madurai North
368,Tamil Nadu,Madurai,Vadipatti
369,Tamil Nadu,Madurai,Usilampatti
370,Tamil Nadu,Madurai,Peraiyur
371,Tamil Nadu,Madurai,Thirumangalam
372,Tamil Nadu,Madurai,Madurai South
373,Tamil Nadu,Nagapattinam,Nagapattinam
374,Tamil Nadu,Nagapattinam,Sirkali
375,Tamil Nadu,Nagapattinam,Mayiladuthurai
376,Tamil Nadu,Nagapattinam,Tharangambadi
377,Tamil Nadu,Nagapattinam,Nagapattinam
378,Tamil Nadu,Nagapattinam,Kilvelur
379,Tamil Nadu,Nagapattinam,Thirukkuvalai
380,Tamil Nadu,Nagapattinam,Vedaranyam
381,Tamil Nadu,Namakkal,Namakkal
382,Tamil Nadu,Namakkal,Tiruchengode
383,Tamil Nadu,Namakkal,Rasipuram
384,Tamil Nadu,Namakkal,Namakkal
385,Tamil Nadu,Namakkal,Paramathi-Velur
386,Tamil Nadu,Perambalur,Perambalur
387,Tamil Nadu,Perambalur,Veppanthattai
388,Tamil Nadu,Perambalur,Kunnam
389,Tamil Nadu,Pudukkottai,Pudukkottai
390,Tamil Nadu,Pudukkottai,Iluppur
391,Tamil Nadu,Pudukkottai,Kulathur
392,Tamil Nadu,Pudukkottai,Gandarvakkottai
393,Tamil Nadu,Pudukkottai,Pudukkottai
394,Tamil Nadu,Pudukkottai,Thirumayam
395,Tamil Nadu,Pudukkottai,Alangudi
396,Tamil Nadu,Pudukkottai,Aranthangi
397,Tamil Nadu,Pudukkottai,Manamelkudi
398,Tamil Nadu,Pudukkottai,Avudayarkoil
399,Tamil Nadu,Ramanathapuram,Ramanathapuram
400,Tamil Nadu,Ramanathapuram,Tiruvadanai
401,Tamil Nadu,Ramanathapuram,Paramakudi
402,Tamil Nadu,Ramanathapuram,Mudukulathur
403,Tamil Nadu,Ramanathapuram,Kamuthi
404,Tamil Nadu,Ramanathapuram,Kadaladi
405,Tamil Nadu,Ramanathapuram,Ramanathapuram
406,Tamil Nadu,Ramanathapuram,Rameswaram
407,Tamil Nadu,Thanjavur,Thanjavur
408,Tamil Nadu,Thanjavur,Thiruvidaimarudur
409,Tamil Nadu,Thanjavur,Kumbakonam
410,Tamil Nadu,Thanjavur,Papanasam
411,Tamil Nadu,Thanjavur,Thiruvaiyaru
412,Tamil Nadu,Thanjavur,Thanjavur
413,Tamil Nadu,Thanjavur,Orathanadu
414,Tamil Nadu,Thanjavur,Pattukkottai
415,Tamil Nadu,Thanjavur,Peravurani
416,Tamil Nadu,Nilgiris,The Nilgiris
417,Tamil Nadu,Nilgiris,Panthalur
418,Tamil Nadu,Nilgiris,Gudalur
419,Tamil Nadu,Nilgiris,Udhagamandalam
420,Tamil Nadu,Nilgiris,Kotagiri
421,Tamil Nadu,Nilgiris,Coonoor
422,Tamil Nadu,Nilgiris,Kundah
423,Tamil Nadu,Theni,Theni
424,Tamil Nadu,Theni,Bodinayakanur
425,Tamil Nadu,Theni,Periyakulam
426,Tamil Nadu,Theni,Theni
427,Tamil Nadu,Theni,Uthamapalayam
428,Tamil Nadu,Theni,Andipatti
429,Tamil Nadu,Thoothukudi,Thoothukkudi
430,Tamil Nadu,Thoothukudi,Kovilpatti
431,Tamil Nadu,Thoothukudi,Ettayapuram
432,Tamil Nadu,Thoothukudi,Vilathikulam
433,Tamil Nadu,Thoothukudi,Ottapidaram
434,Tamil Nadu,Thoothukudi,Thoothukkudi
435,Tamil Nadu,Thoothukudi,Srivaikuntam
436,Tamil Nadu,Thoothukudi,Tiruchendur
437,Tamil Nadu,Thoothukudi,Sathankulam
438,Tamil Nadu,Tiruchirappalli,Tiruchirappalli
439,Tamil Nadu,Tiruchirappalli,Thottiyam
440,Tamil Nadu,Tiruchirappalli,Musiri
441,Tamil Nadu,Tiruchirappalli,Thuraiyur
442,Tamil Nadu,Tiruchirappalli,Manachanallur
443,Tamil Nadu,Tiruchirappalli,Lalgudi
444,Tamil Nadu,Tiruchirappalli,Srirangam
445,Tamil Nadu,Tiruchirappalli,Tiruchirappalli
446,Tamil Nadu,Tiruchirappalli,Manapparai
447,Tamil Nadu,Tirunelveli,Tirunelveli
448,Tamil Nadu,Tirunelveli,Sivagiri
449,Tamil Nadu,Tirunelveli,Sankarankoil
